index,cate,disease_name,description,Possible_steps,image_url,cate_img
0,Táo, Scab,B?nh gh? táo là b?nh ph? bi?n nh?t c?a cây táo và cua ? Minnesota. B?nh gh? là do m?t lo?i n?m lây nhi?m c? lá và qu?. Trái cây gh? th??ng không phù h?p ?? ?n. Lá b? nhi?m b?nh có ??m màu xanh ô liu ??n nâu. Lá có nhi?u ??m lá chuy?n sang màu vàng và r?ng s?m. M?t lá làm suy y?u cây khi nó x?y ra nhi?u n?m liên ti?p. Tr?ng các gi?ng kháng b?nh là cách t?t nh?t ?? ki?m soát b?nh gh?.,"Ch?n gi?ng kháng b?nh khi có th?. Cào d??i tán cây và tiêu h?y lá b? nhi?m b?nh ?? gi?m s? l??ng bào t? n?m có s?n ?? b?t ??u chu k? b?nh tr? l?i vào mùa xuân t?i. T??i n??c vào bu?i t?i ho?c sáng s?m (tránh t??i trên cao) ?? lá có th?i gian khô tr??c khi nhi?m trùng có th? x?y ra. Tr?i m?t l?p phân ? t? 3 ??n 6 inch d??i tán cây, gi? nó cách xa thân cây, ?? che ph? ??t và ng?n ch?n s? phát tán c?a bào t? n?m. ?? ki?m soát t?t nh?t, hãy phun xà phòng ??ng l?ng s?m, hai tu?n tr??c khi các tri?u ch?ng th??ng xu?t hi?n. Ngoài ra, b?t ??u s? d?ng khi b?nh xu?t hi?n l?n ??u tiên và l?p l?i trong kho?ng th?i gian 7 ??n 10 ngày cho ??n khi hoa r?i.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg,https://i.imgur.com/fw2v28W.png
1,Táo, Black Rot,"Các tri?u ch?ng lá ??u tiên x?y ra vào ??u mùa xuân khi lá ?ang m? ra. Chúng xu?t hi?n d??i d?ng các ??m nh?, màu tím ? m?t trên c?a lá lan r?ng thành các t?n th??ng tròn có ???ng kính t? 1/8 ??n 1/4 inch (3-6 mm). Rìa c?a các t?n th??ng v?n có màu tím, trong khi trung tâm chuy?n sang màu nâu sang màu nâu. Trong m?t vài tu?n, s? m? r?ng th? c?p c?a các ??m lá này x?y ra. Lá b? nhi?m b?nh n?ng tr? nên úa vàng và r?ng lá x?y ra. Khi khu v?c m?c nát m? r?ng, m?t lo?t các d?i ??ng tâm có chi?u r?ng ??ng ??u hình thành xen k? màu t? ?en sang nâu. Th?t c?a khu v?c m?c nát v?n c?ng và có da. Pycnidia ?en th??ng ???c nhìn th?y trên b? m?t c?a qu? b? nhi?m b?nh.","Remove the cankers by pruning at least 15 inches below the end and burn or bury them. Also take preventative care with new season prunings and burn them, too.You are better off pruning during the dormant season. This will minimize the odds that fire blight will infect your tree and produce dead tissue that can easily be infected by Botryosphaeria.You should also take precautions if the bark is damaged by hail, or branches break during a windstorm. Using a copper-based fungicide will protect against both black rot and fire blight.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg,
2,Táo, Cedar rust,"B?nh g? s?t táo tuy?t tùng (Gymnosporangium juniperi-virginianae) là m?t b?nh n?m ?òi h?i cây bách xù ph?i hoàn thành vòng ??i hai n?m ph?c t?p c?a nó. Các bào t? ?an xen nh? m?t túi m?t màu nâu ?? trên cành cây non c?a các loài cây bách xù khác nhau. Vào ??u mùa xuân, trong th?i ti?t ?m ??t, nh?ng túi m?t này ph?ng lên và nh?ng kh?i bào t? màu cam sáng b? gió th?i, n?i chúng lây nhi?m vào nh?ng cây táo và táo cua nh?y c?m. Các bào t? phát tri?n trên nh?ng cây này s? ch? lây nhi?m cho cây bách xù vào n?m sau. T? n?m này sang n?m khác, b?nh ph?i truy?n t? cây bách xù sang táo sang cây bách xù m?t l?n n?a; Nó không th? lây lan gi?a các cây táo.","Ch?n gi?ng cây tr?ng kháng b?nh khi có s?n. Cào lên và v?t b? lá r?ng và các m?nh v?n khác t? d??i tán cây. Lo?i b? galls t? junipers b? nhi?m b?nh. Trong m?t s? tr??ng h?p, cây bách xù nên ???c lo?i b? hoàn toàn. Áp d?ng các lo?i thu?c di?t n?m phòng ng?a, ch?ng l?i b?nh t?t ???c dán nhãn ?? s? d?ng trên táo hàng tu?n, b?t ??u b?ng vi?c phá n?, ?? b?o v? cây kh?i bào t? ???c gi?i phóng b?i v?t ch? cây bách xù. ?i?u này ch? x?y ra m?t l?n m?i n?m, vì v?y các ?ng d?ng b? sung sau khi lây lan mùa xuân này là không c?n thi?t. Trên cây bách xù, r? sét có th? ???c ki?m soát b?ng cách phun th?c v?t b?ng dung d?ch ??ng (0,5 ??n 2,0 oz / gallon n??c) ít nh?t b?n l?n t? cu?i tháng Tám ??n cu?i tháng M??i. ?i?u tr? an toàn h?u h?t các b?nh n?m và vi khu?n v?i SERENADE Garden. Thu?c di?t n?m sinh h?c ph? r?ng này s? d?ng m?t ch?ng Bacillus subtilis ?ã ???c c?p b?ng sáng ch? ???c ??ng ký s? d?ng h?u c?. Trên h?t, SERENADE hoàn toàn không ??c h?i ??i v?i ong m?t và côn trùng có l?i.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg,
3,Táo, Healthy,"Nh? v?i h?u h?t các lo?i trái cây, táo s?n xu?t t?t nh?t khi ???c tr?ng trong ánh n?ng m?t tr?i ??y ??, có ngh?a là sáu gi? tr? lên c?a M?t tr?i mùa hè tr?c ti?p hàng ngày. Ti?p xúc t?t nh?t cho táo là phía b?c c?a m?t ngôi nhà, ???ng cây, ho?c m?c lên ch? không ph?i là phía nam. Cây táo c?n ??t thoát n??c t?t, nh?ng có th? gi? ???c ?? ?m.",Táo r?t b? d??ng.  Táo có th? t?t cho vi?c gi?m cân. Táo có th? t?t cho tim c?a b?n.  Chúng có liên quan ??n nguy c? m?c b?nh ti?u ???ng th?p h?n.  Chúng có th? có tác d?ng prebiotic và thúc ??y vi khu?n ???ng ru?t t?t. Các ch?t trong táo có th? giúp ng?n ng?a ung th?.,https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg,
4,Background Without Leaves,,There is no leaf in the given image,please reupload image with leaf,https://cdn.onlinewebfonts.com/svg/img_332817.png,
5,Blueberry, Healthy,"Qu? vi?t qu?t có l??ng calo th?p nh?ng giàu ch?t dinh d??ng. ... Qu? vi?t qu?t là vua c?a th?c ph?m ch?ng oxy hóa. ... Qu? vi?t qu?t làm gi?m t?n th??ng DNA, có th? giúp b?o v? ch?ng lão hóa và ung th?. ... Qu? vi?t qu?t b?o v? cholesterol trong máu c?a b?n kh?i b? h? h?i. ... Qu? vi?t qu?t có th? làm gi?m huy?t áp.","L?p ph? sâu, pH th?p nh? rêu than bùn, kim thông ho?c mùn c?a lâu n?m giúp ti?t ki?m n??c và gi?m thi?u bi?n ??ng n??c trong ??t. T??i n??c cho cây vi?t qu?t vào ban ngày. Gi? cho ??t ?m nh?ng không b? s?ng n??c. Cung c?p cho chúng ít nh?t 1 ""m?i tu?n trong mùa sinh tr??ng và t?i ?a 4"" m?i tu?n trong khi qu? chín. Qu? vi?t qu?t là m?t lo?i cây có r? nông. Do ?ó, nó ?òi h?i m?t lo?i ??t gi? ?? ?m, nh?ng c?ng thoát n??c t?t và không b? ?m ??t. Không tr?ng vi?t qu?t ? nh?ng n?i có ??t sét n?ng, ?m ??t.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg,https://i.imgur.com/0ckFQle.png
6,Cherry, Powdery Mildew,"Các tri?u ch?ng ban ??u, th??ng x?y ra t? 7 ??n 10 ngày sau khi b?t ??u l?n t??i ??u tiên, là các m?ng màu tr?ng hình tròn nh?t trên lá non, m?n c?m (lá m?i m? ra và lá m? r?ng màu xanh nh?t). Lá già phát tri?n kh? n?ng kháng b?nh liên quan ??n tu?i (ontogenic) ??i v?i b?nh ph?n tr?ng và có kh? n?ng ch?ng nhi?m trùng t? nhiên cao h?n lá non. Tìm ki?m các b?nh nhi?m trùng lá s?m trên r? hút, bên trong tán cây ho?c ?áy qu?n c?a cây n?i có ?? ?m cao. Trái ng??c v?i các lo?i n?m khác, ph?n tr?ng không c?n n??c t? do ?? n?y m?m nh?ng s? n?y m?m và phát tri?n c?a n?m ???c ?a chu?ng b?i ?? ?m cao. B?nh có nhi?u kh? n?ng b?t ??u ? m?t d??i (abaxial) c?a lá nh?ng s? x?y ra ? c? hai bên ? giai ?o?n sau. Khi mùa ti?n tri?n và nhi?m trùng lây lan qua gió, lá có th? b? bi?n d?ng, cu?n tròn lên. Nhi?m trùng n?ng có th? khi?n lá nh?n l?i và xo?n. Lá m?i phát tri?n trên ch?i m?i tr? nên nh? d?n, th??ng nh?t nh?t và ...","Kh? trùng các c?nh c?t, sau ?ó c?t t?a và lo?i b? các ph?n b? b?nh c?a cây ngay l?p t?c. ??ng th?i, bôi thu?c di?t n?m ?? b?o v? nh?ng lá còn l?i trên cây ?n qu?. B?n s? c?n l?p l?i các ?ng d?ng thu?c di?t n?m theo h??ng d?n trên nhãn ?? b?o v? cây trong toàn b? mùa.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png,https://i.imgur.com/Wo0fNUI.png
7,Cherry, Healthy,"Không có s? khác bi?t trong vi?c ch?m sóc gi?a anh ?ào chua và ng?t. Áp d?ng l?p ph? ?? gi? ?? ?m. Treo l??i trên cây ?? b?o v? trái cây kh?i chim. T??i n??c th??ng xuyên ? nh?ng n?i khô ráo. T?a th?a qu? là không c?n thi?t cho cây anh ?ào, vì chúng th??ng m?ng t? nhiên vào ??u mùa hè.",?óng gói v?i các ch?t dinh d??ng. Giàu ch?t ch?ng oxy hóa và các h?p ch?t ch?ng viêm. Có th? thúc ??y ph?c h?i t?p th? d?c. Có th? có l?i cho s?c kh?e tim m?ch. Có th? c?i thi?n các tri?u ch?ng viêm kh?p và b?nh gút. Có th? c?i thi?n ch?t l??ng gi?c ng?. D? dàng ?? thêm vào ch? ?? ?n u?ng c?a b?n.,https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg,
8,B?p, Cercospora Leaf Spot | Gray Leaf Spot,"B?nh ??m lá xám trên ngô, do n?m Cercospora zeae-maydis gây ra, là m?t b?nh lâu n?m và gây h?i kinh t? ? Hoa K?. K? t? gi?a nh?ng n?m 1990, c?n b?nh này ?ã t?ng t?m quan tr?ng ? Indiana, và bây gi? là m?t trong nh?ng b?nh trên lá quan tr?ng nh?t c?a ngô trong ti?u bang. B?nh ??m lá xám là do n?m Pyricularia grisea gây ra, còn ???c g?i là Magnaporthe grisea. Th?i k? m?a ?m áp th??ng xuyên ph? bi?n ? Florida t?o ?i?u ki?n thu?n l?i cho b?nh n?m này. Lo?i n?m này làm ch?m s? phát tri?n, làm m?ng các giá ?? ???c thi?t l?p và có th? gi?t ch?t các khu v?c r?ng l?n c?a St.","T??i sâu, nh?ng không th??ng xuyên. Tránh s? d?ng thu?c di?t c? sau khi xu?t hi?n trên bãi c? trong khi b?nh ?ang ho?t ??ng. Tránh m?c phân ??m t? trung bình ??n cao. C?i thi?n l?u thông không khí và m?c ?? ánh sáng trên bãi c?. C?t ? ?? cao thích h?p và ch? c?t khi c? khô.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png,https://i.imgur.com/3tOHeMW.png
9,B?p, Common Rust,"M?c dù m?t vài m?n m? r? sét luôn có th? ???c tìm th?y trên các cánh ??ng ngô trong su?t mùa sinh tr??ng, các tri?u ch?ng th??ng không xu?t hi?n cho ??n sau khi tua. Chúng có th? d? dàng nh?n ra và phân bi?t v?i các b?nh khác b?ng s? phát tri?n c?a m?n m? s?m màu, màu nâu ?? (uredinia) n?m r?i rác trên c? b? m?t trên và d??i c?a lá ngô. Nh?ng m?n m? này có th? xu?t hi?n trên b?t k? ph?n nào trên m?t ??t c?a cây, nh?ng có nhi?u nh?t trên lá. M?n m? xu?t hi?n hình b?u d?c ?? kéo dài v? hình d?ng, th??ng nh?, dài d??i 1/4 inch và ???c bao quanh b?i l?p bi?u bì lá, n?i nó ?ã xuyên qua.","?? gi?m t? l? m?c b?nh g? s?t ngô, ch? tr?ng ngô có kh? n?ng kháng n?m. S?c ?? kháng ? d?ng kháng ??c tr?ng cho ch?ng t?c ho?c ch?ng g? m?t ph?n. Trong c? hai tr??ng h?p, không có ngô ng?t nào có kh? n?ng kháng hoàn toàn. N?u ngô b?t ??u có tri?u ch?ng nhi?m trùng, ngay l?p t?c phun thu?c di?t n?m.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png,
